model, model_parameter, features, r_2, database_size, coeffs, features_ranking
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['blockiness'| 'spatialactivity'| 'pillarbox'| 'blockloss'| 'blur'| 'temporalact'| 'blockout'| 'exposure'| 'contrast'| 'brightness'| '1920x1080'| '352x288'| '3840x2160'| '640x480'| '704x576'| 'one_res'],-0.0632775768375,(645| 172),[ 8.01613779e-01 -7.60581119e-04 -2.11839898e+01 -5.70404910e-02 -6.80872399e-02  3.25498876e-03  8.45699648e+01 -1.94450863e-03 -7.50888548e-03  7.24349819e-02  2.39943537e-01 -3.49524879e-02  5.08187615e-01 -9.10800506e-01  1.97621842e-01  4.36574766e-02],[ 1 14  1  9  7 12  1 13 10  8  5  6  4  2  3 11]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'],0.632070156676,(645| 172),[ 0.05042579  0.02690346 -1.41395592 -3.44214218],[1 2 1 1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'duration'],0.648135320068,(645| 172),[ 0.04821795  0.026961   -2.34733216 -1.50144094  0.00412737],[1 2 1 1 3]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'duration'| 'one_res'],0.750796894647,(645| 172),[ 5.10981313e-02  3.74233948e-02 -1.46029277e+00 -6.38111366e+00 -2.11566387e-03  7.29775963e-01],[2 3 1 1 4 1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'duration'| 'one_res'| '1920x1080'| '352x288'| '3840x2160'| '640x480'| '704x576'],0.794920331893,(645| 172),[ 0.04596057  0.03696151 -0.11103576 -5.78411742 -0.00986327 -1.02980654  0.79189362 -1.22628661  0.90834826  0.75226488 -1.22622016],[7 8 1 3 9 1 5 1 6 4 2]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'brightness'],0.62477349675,(645| 172),[ 0.05655543  0.02540352  2.94142464 -8.46368515  0.5217624 ],[2 3 1 1 1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'brightness'| 'exposure'],0.635179521199,(645| 172),[ 5.71473144e-02  2.52792441e-02  2.76176143e+00 -8.24169625e+00  5.29923746e-01  2.50411581e-03],[2 3 1 1 1 4]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'blur'| 'blockloss'],0.617917604601,(645| 172),[ 5.38046598e-02  2.25479696e-02  2.39807647e+00 -7.27480870e+00 -4.12677958e-03 -2.94560073e-02],[1 3 1 1 4 2]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'brightness'| 'one_res'],0.738961081292,(645| 172),[ 0.05263171  0.03547969 -0.01981581 -7.27609292  0.22192416  0.63740936],[1 3 4 1 1 2]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'brightness'| 'exposure'| 'one_res'],0.762450574003,(645| 172),[ 0.0538687   0.03622011 -0.84415582 -6.52469296  0.21241725  0.00702792  0.70631252],[1 3 4 1 1 5 2]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'blur'| 'blockloss'| 'one_res'],0.735845959756,(645| 172),[  0.05468161   0.03250851   2.68998448 -10.07802812  -0.01972947  -0.01974112   0.70930802],[2 3 1 1 5 4 1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'brightness'| 'blockiness'| 'blockloss'| 'blur'| 'one_res'],0.752550489229,(645| 172),[ 0.05326651  0.03347673  2.12328397 -9.68229701 -0.50834425  0.08279024 -0.01418098 -0.05375495  0.87592194],[4 6 1 1 3 1 7 5 2]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'brightness'| 'blockiness'| 'blockloss'| 'blur'],0.629838957498,(645| 172),[ 0.0559168   0.02440403  3.29877534 -8.71989814  0.63970556  0.08292168 -0.03207433  0.03727024],[3 6 1 1 2 1 4 5]
